q,q2,seed,S,exp_id
0.95,0.05,6,200,810
0.05,0.15,6,200,811
0.15,0.15,6,200,812
0.25,0.15,6,200,813
0.35,0.15,6,200,814
0.45,0.15,6,200,815
0.55,0.15,6,200,816
0.65,0.15,6,200,817
0.75,0.15,6,200,818
0.85,0.15,6,200,819
0.95,0.15,6,200,820
0.05,0.25,6,200,821
0.15,0.25,6,200,822
0.25,0.25,6,200,823
0.35,0.25,6,200,824
0.45,0.25,6,200,825
0.55,0.25,6,200,826
0.65,0.25,6,200,827
0.75,0.25,6,200,828
0.85,0.25,6,200,829
0.95,0.25,6,200,830
0.05,0.35,6,200,831
0.15,0.35,6,200,832
0.25,0.35,6,200,833
0.35,0.35,6,200,834
0.45,0.35,6,200,835
0.55,0.35,6,200,836
0.65,0.35,6,200,837
0.75,0.35,6,200,838
0.85,0.35,6,200,839
0.95,0.35,6,200,840
0.05,0.45,6,200,841
0.15,0.45,6,200,842
0.25,0.45,6,200,843
0.35,0.45,6,200,844
0.45,0.45,6,200,845
0.55,0.45,6,200,846
0.65,0.45,6,200,847
0.75,0.45,6,200,848
0.85,0.45,6,200,849
0.95,0.45,6,200,850
0.05,0.55,6,200,851
0.15,0.55,6,200,852
0.25,0.55,6,200,853
0.35,0.55,6,200,854
0.45,0.55,6,200,855
0.55,0.55,6,200,856
0.65,0.55,6,200,857
0.75,0.55,6,200,858
0.85,0.55,6,200,859
0.95,0.55,6,200,860
0.05,0.65,6,200,861
0.15,0.65,6,200,862
0.25,0.65,6,200,863
0.35,0.65,6,200,864
0.45,0.65,6,200,865
0.55,0.65,6,200,866
0.65,0.65,6,200,867
0.75,0.65,6,200,868
0.85,0.65,6,200,869
0.95,0.65,6,200,870
0.05,0.75,6,200,871
0.15,0.75,6,200,872
0.25,0.75,6,200,873
0.35,0.75,6,200,874
0.45,0.75,6,200,875
0.55,0.75,6,200,876
0.65,0.75,6,200,877
0.75,0.75,6,200,878
0.85,0.75,6,200,879
0.95,0.75,6,200,880
0.05,0.85,6,200,881
0.15,0.85,6,200,882
0.25,0.85,6,200,883
0.35,0.85,6,200,884
0.45,0.85,6,200,885
0.55,0.85,6,200,886
0.65,0.85,6,200,887
0.75,0.85,6,200,888
0.85,0.85,6,200,889
0.95,0.85,6,200,890
0.05,0.95,6,200,891
0.15,0.95,6,200,892
0.25,0.95,6,200,893
0.35,0.95,6,200,894
0.45,0.95,6,200,895
0.55,0.95,6,200,896
0.65,0.95,6,200,897
0.75,0.95,6,200,898
0.85,0.95,6,200,899
0.95,0.95,6,200,900
0.05,0.05,7,200,901
0.15,0.05,7,200,902
0.25,0.05,7,200,903
0.35,0.05,7,200,904
0.45,0.05,7,200,905
0.55,0.05,7,200,906
0.65,0.05,7,200,907
0.75,0.05,7,200,908
0.85,0.05,7,200,909
0.95,0.05,7,200,910
0.05,0.15,7,200,911
0.15,0.15,7,200,912
0.25,0.15,7,200,913
0.35,0.15,7,200,914
0.45,0.15,7,200,915
0.55,0.15,7,200,916
0.65,0.15,7,200,917
0.75,0.15,7,200,918
0.85,0.15,7,200,919
0.95,0.15,7,200,920
0.05,0.25,7,200,921
0.15,0.25,7,200,922
0.25,0.25,7,200,923
0.35,0.25,7,200,924
0.45,0.25,7,200,925
0.55,0.25,7,200,926
0.65,0.25,7,200,927
0.75,0.25,7,200,928
0.85,0.25,7,200,929
0.95,0.25,7,200,930
0.05,0.35,7,200,931
0.15,0.35,7,200,932
0.25,0.35,7,200,933
0.35,0.35,7,200,934
0.45,0.35,7,200,935
0.55,0.35,7,200,936
0.65,0.35,7,200,937
0.75,0.35,7,200,938
0.85,0.35,7,200,939
0.95,0.35,7,200,940
0.05,0.45,7,200,941
0.15,0.45,7,200,942
0.25,0.45,7,200,943
0.35,0.45,7,200,944
0.45,0.45,7,200,945
0.55,0.45,7,200,946
0.65,0.45,7,200,947
0.75,0.45,7,200,948
0.85,0.45,7,200,949
0.95,0.45,7,200,950
0.05,0.55,7,200,951
0.15,0.55,7,200,952
0.25,0.55,7,200,953
0.35,0.55,7,200,954
0.45,0.55,7,200,955
0.55,0.55,7,200,956
0.65,0.55,7,200,957
0.75,0.55,7,200,958
0.85,0.55,7,200,959
0.95,0.55,7,200,960
0.05,0.65,7,200,961
0.15,0.65,7,200,962
0.25,0.65,7,200,963
0.35,0.65,7,200,964
0.45,0.65,7,200,965
0.55,0.65,7,200,966
0.65,0.65,7,200,967
0.75,0.65,7,200,968
0.85,0.65,7,200,969
0.95,0.65,7,200,970
0.05,0.75,7,200,971
0.15,0.75,7,200,972
0.25,0.75,7,200,973
0.35,0.75,7,200,974
0.45,0.75,7,200,975
0.55,0.75,7,200,976
0.65,0.75,7,200,977
0.75,0.75,7,200,978
0.85,0.75,7,200,979
0.95,0.75,7,200,980
0.05,0.85,7,200,981
0.15,0.85,7,200,982
0.25,0.85,7,200,983
0.35,0.85,7,200,984
0.45,0.85,7,200,985
0.55,0.85,7,200,986
0.65,0.85,7,200,987
0.75,0.85,7,200,988
0.85,0.85,7,200,989
0.95,0.85,7,200,990
0.05,0.95,7,200,991
0.15,0.95,7,200,992
0.25,0.95,7,200,993
