Sample,Mixture,Time,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Isolate1FreqPredicted,Isolate2FreqPredicted,RSquare
246,AcrAss1_95_5_6_7,T3,AcrAss1,6,7,0.95,0.05,0.100152156220456,0.899847843779544,0.755868161352054
248,AcrAss1_95_5_8_7,T3,AcrAss1,7,8,0.05,0.95,0.225929020332821,0.774070979667179,0.942740415603124
249,AcrAss1_95_5_1_8,T3,AcrAss1,1,8,0.95,0.05,0.0644694730333242,0.935530526966676,0.943904299195347
250,AcrAss1_95_5_2_8,T3,AcrAss1,2,8,0.95,0.05,0.120875285882415,0.879124714117585,0.949199205472761
251,AcrAss1_95_5_3_8,T3,AcrAss1,3,8,0.95,0.05,0.352985902704968,0.647014097295032,0.917801931246236
252,AcrAss1_95_5_4_8,T3,AcrAss1,4,8,0.95,0.05,0.643769393194867,0.356230606805133,0.949110074610418
253,AcrAss1_95_5_5_8,T3,AcrAss1,5,8,0.95,0.05,0.90200487661759,0.0979951233824097,0.963787579851433
254,AcrAss1_95_5_6_8,T3,AcrAss1,6,8,0.95,0.05,0.0539356732500681,0.946064326749932,0.939768824805484
255,AcrAss1_95_5_7_8,T3,AcrAss1,7,8,0.95,0.05,0.959016517410736,0.0409834825892636,0.950503834327589
258,RanAss2_95_5_2_1,T3,RanAss2,1,2,0.05,0.95,0.0695245488323453,0.930475451167655,0.956378441622599
259,RanAss2_95_5_3_1,T3,RanAss2,1,3,0.05,0.95,,,
260,RanAss2_95_5_4_1,T3,RanAss2,1,4,0.05,0.95,0.910328055301304,0.0896719446986958,0.949604837829949
261,RanAss2_95_5_5_1,T3,RanAss2,1,5,0.05,0.95,0.94352840493101,0.0564715950689898,0.955682545897186
262,RanAss2_95_5_6_1,T3,RanAss2,1,6,0.05,0.95,,,
263,RanAss2_95_5_7_1,T3,RanAss2,1,7,0.05,0.95,0.935348170840619,0.0646518291593816,0.950070084122255
264,RanAss2_95_5_8_1,T3,RanAss2,1,8,0.05,0.95,0.43889268663828,0.56110731336172,0.943684544883241
265,RanAss2_95_5_1_2,T3,RanAss2,1,2,0.95,0.05,0.170325389848097,0.829674610151903,0.941271659740515
267,RanAss2_95_5_3_2,T3,RanAss2,2,3,0.05,0.95,,,
268,RanAss2_95_5_4_2,T3,RanAss2,2,4,0.05,0.95,0.952568934830245,0.0474310651697549,0.925652110559213
269,RanAss2_95_5_5_2,T3,RanAss2,2,5,0.05,0.95,0.94932919342426,0.0506708065757398,0.961577005770837
270,RanAss2_95_5_6_2,T3,RanAss2,2,6,0.05,0.95,,,
271,RanAss2_95_5_7_2,T3,RanAss2,2,7,0.05,0.95,0.954323090459096,0.0456769095409041,0.958563610063018
272,RanAss2_95_5_8_2,T3,RanAss2,2,8,0.05,0.95,0.920706970235375,0.079293029764625,0.955129243917096
273,RanAss2_95_5_1_3,T3,RanAss2,1,3,0.95,0.05,,,
274,RanAss2_95_5_2_3,T3,RanAss2,2,3,0.95,0.05,,,
276,RanAss2_95_5_4_3,T3,RanAss2,3,4,0.05,0.95,,,
277,RanAss2_95_5_5_3,T3,RanAss2,3,5,0.05,0.95,,,
278,RanAss2_95_5_6_3,T3,RanAss2,3,6,0.05,0.95,,,
279,RanAss2_95_5_7_3,T3,RanAss2,3,7,0.05,0.95,,,
280,RanAss2_95_5_8_3,T3,RanAss2,3,8,0.05,0.95,,,
281,RanAss2_95_5_1_4,T3,RanAss2,1,4,0.95,0.05,0.928756285487425,0.0712437145125749,0.930648726827182
282,RanAss2_95_5_2_4,T3,RanAss2,2,4,0.95,0.05,0.911833504546083,0.0881664954539173,0.928938898074124
283,RanAss2_95_5_3_4,T3,RanAss2,3,4,0.95,0.05,,,
285,RanAss2_95_5_5_4,T3,RanAss2,4,5,0.05,0.95,0.88579682683335,0.11420317316665,0.824927920507189
286,RanAss2_95_5_6_4,T3,RanAss2,4,6,0.05,0.95,,,
287,RanAss2_95_5_7_4,T3,RanAss2,4,7,0.05,0.95,0.92287641780633,0.0771235821936698,0.817363355578252
288,RanAss2_95_5_8_4,T3,RanAss2,4,8,0.05,0.95,0.334513874207946,0.665486125792054,0.761626607092877
