Community,Isolate1,Isolate2,InteractionType,From,To,CarbonSource,GrowthRateVariable,PairGrowthRateVariable
C1R4,1,5,exclusion,5,1,citrate,LagTime,5.90130902139904
C1R4,1,5,exclusion,5,1,citrate,MaxGrowthRate,0.308747245280676
C1R4,1,5,exclusion,5,1,citrate,MaxOD,0.076871979789179
C1R4,1,5,exclusion,5,1,Darabinose,LagTime,24.6702108584151
C1R4,1,5,exclusion,5,1,Darabinose,MaxGrowthRate,0.1654947804785
C1R4,1,5,exclusion,5,1,Darabinose,MaxOD,0.700347428028631
C1R4,1,5,exclusion,5,1,formate,LagTime,0.524085718234456
C1R4,1,5,exclusion,5,1,formate,MaxGrowthRate,0.00388484964346768
C1R4,1,5,exclusion,5,1,formate,MaxOD,0.0027457712968912
C1R4,1,5,exclusion,5,1,glucose,LagTime,2.48046432435223
C1R4,1,5,exclusion,5,1,glucose,MaxGrowthRate,0.625990701089497
C1R4,1,5,exclusion,5,1,glucose,MaxOD,0.313140228463316
C1R4,1,5,exclusion,5,1,glycerol,LagTime,5.96388744816737
C1R4,1,5,exclusion,5,1,glycerol,MaxGrowthRate,0.035538409577219
C1R4,1,5,exclusion,5,1,glycerol,MaxOD,0.003849298245369
C1R4,1,5,exclusion,5,1,inositol,LagTime,6.22427247724067
C1R4,1,5,exclusion,5,1,inositol,MaxGrowthRate,0.207793146330599
C1R4,1,5,exclusion,5,1,inositol,MaxOD,0.0465862400053062
C1R4,1,5,exclusion,5,1,Lglutamate,LagTime,0.1665881406661
C1R4,1,5,exclusion,5,1,Lglutamate,MaxGrowthRate,0.268394113744307
C1R4,1,5,exclusion,5,1,Lglutamate,MaxOD,0.382691642802383
C1R4,1,5,exclusion,5,1,phenylalanine,LagTime,
C1R4,1,5,exclusion,5,1,phenylalanine,MaxGrowthRate,
C1R4,1,5,exclusion,5,1,phenylalanine,MaxOD,
C1R4,1,5,exclusion,5,1,succinate,LagTime,1.51536450161411
C1R4,1,5,exclusion,5,1,succinate,MaxGrowthRate,0.02177371328775
C1R4,1,5,exclusion,5,1,succinate,MaxOD,0.143934764145154
C1R4,2,3,exclusion,2,3,acetate,LagTime,3.02171317709616
C1R4,2,3,exclusion,2,3,acetate,MaxGrowthRate,0.143824909376061
C1R4,2,3,exclusion,2,3,acetate,MaxOD,0.197588522027459
C1R4,2,3,exclusion,2,3,arginine,LagTime,2.52997172843763
C1R4,2,3,exclusion,2,3,arginine,MaxGrowthRate,0.141845272915707
C1R4,2,3,exclusion,2,3,arginine,MaxOD,0.620521862913342
C1R4,2,3,exclusion,2,3,citrate,LagTime,3.01502282791986
C1R4,2,3,exclusion,2,3,citrate,MaxGrowthRate,0.172681509398811
C1R4,2,3,exclusion,2,3,citrate,MaxOD,0.468236094302259
C1R4,2,3,exclusion,2,3,Darabinose,LagTime,9.77893920279426
C1R4,2,3,exclusion,2,3,Darabinose,MaxGrowthRate,0.168260216098726
C1R4,2,3,exclusion,2,3,Darabinose,MaxOD,0.630178919912521
