ExpID,ID,Community,Isolate,SID,K,T_mid,R,CS,maxOD,R16,R24,R48,RUpper,RMid,RLow,R16_water,R24_water,R48_water,RUpper_water,RMid_water,RLow_water,Family,SangerID
11.2.B.4.1,454,C11R2,8,454_Fumarate,0.528081539712002,18.0680282607286,0.175079670373054,Fumarate,0.545,0.12027793057535,0.097643897654694,0.0554897644958259,0.0820494629143063,0.103175188476185,0.112721546046251,0.069562997787445,0.0481832631411607,0.0325340119769465,0.0379874726201447,0.0539220760300171,0.062961576235938,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_Gluconate,0.182028289617,13.5021031506623,0.201550605215399,Gluconate,0.217,0.0908696712815555,0.0639469586679169,0.0388093458906349,0.080373364945572,0.0934167404983388,0.103204980792798,0.0695642213248881,0.0481838220015146,0.0325343890648375,0.0603921005242119,0.0721293884221352,0.0810870337119804,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_Glycerol,0.418270944901172,20.0507167832387,0.186881740134116,Glycerol,0.413,0.0933220083176417,0.0847400950633134,0.0499346462889101,0.0847400950633134,0.0929177061511765,0.0938429081820877,0.0695642213248881,0.0481843808748328,0.0325343890648375,0.0481843808748328,0.0648174261480822,0.0721307447220999,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_L-Arabinose,0.341580097323835,20.2681147071019,0.153957946166962,L-Arabinose,0.334,0.091796149351085,0.0729514867688069,0.0457300919734314,0.0790492547918103,0.091796149351085,0.0887309045574916,0.0695642213248881,0.0481838220015146,0.0325343890648375,0.0539227759440374,0.0695642213248881,0.0782149011711982,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_L-Glutamine,0.51105053818681,19.9832088345157,0.146103966364567,L-Glutamine,0.501,0.107670082778756,0.0893586901491187,0.0533586023051218,0.068936102436709,0.083806818003173,0.0949318141926116,0.0695642213248881,0.0481838220015146,0.0325340119769465,0.0323083401608455,0.0414422139313894,0.0576853694126779,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_L-Leucine,0.0880577070822132,7.39668611161329,0.824108715627122,L-Leucine,0.098,0.0763885655236255,0.0494486515540581,0.0250159259409258,0.0449876820270128,0.0835517121203347,0.108659856489647,0.069562997787445,0.0481832631411607,0.0325336348977966,0.0446950848979163,0.0741154343572336,0.0756229308729825,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_L-Malate,0.529914267853001,19.4300338445769,0.158938016989529,L-Malate,0.538,0.111888852060428,0.0943753643391618,0.0552387296900576,0.0994832470633698,0.103168776860273,0.11015588222197,0.069562997787445,0.0481832631411607,0.0325338234362789,0.0576853694126779,0.0620713865326091,0.0678858763318957,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_L-Phenylalanine,0.577989161563632,24.124921938721,0.129957783464407,L-Phenylalanine,0.546,0.106666542702109,0.0826808353192399,0.0555250144082572,0.0757393899960778,0.0802289228251866,0.102256515233748,0.069562997787445,0.0481832631411607,0.0325338234362789,0.0363055764258517,0.0432892217943686,0.0648163866909859,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_Pyruvate,0.590638135264624,16.5716833827231,0.184955408250354,Pyruvate,0.6,0.131086293487847,0.104679593266181,0.0573620235101991,0.113274207672375,0.119897666876797,0.125582943806133,0.069562997787445,0.0481832631411607,0.0325343890648375,0.0548688298216433,0.0603912106384014,0.064815347267228,Moraxellaceae,454
11.2.B.4.1,454,C11R2,8,454_Succinate,0.589415927441359,18.4952688760391,0.159573775104877,Succinate,0.589,0.124994577418025,0.10068874472224,0.0574490516961181,0.0868632765750954,0.102302923431509,0.112099905938956,0.0695617742930421,0.0481832631411607,0.0325340119769465,0.0386317741816426,0.0492322274149937,0.0603912106384014,Moraxellaceae,454
